OID,Dataset,Variable,Comparator,Value,Comment
WC.ADQSADAS.AVAL.ACITM01-ACITM14,ADQSADAS,PARAMCD,IN,"ACITM01,ACITM02,ACITM03,ACITM04,ACITM05,ACITM06,ACITM07,ACITM08,ACITM09,ACITM10,ACITM11,ACITM12,ACITM13,ACITM14",
WC.ADQSADAS.AVAL.ACTOT,ADQSADAS,PARAMCD,EQ,ACTOT,
WC.ADQSADAS.DTYPE.ACITM01-ACITM14,ADQSADAS,PARAMCD,NE,ACTOT,
WC.ADQSADAS.DTYPE.ACTOT,ADQSADAS,PARAMCD,EQ,ACTOT,
WC.ADQSADAS.QSSEQ.ACITM01-ACITM14,ADQSADAS,PARAMCD,NE,ACTOT,
WC.ADQSADAS.QSSEQ.ACTOT,ADQSADAS,PARAMCD,EQ,ACTOT,
WC.Table_14-3.01.R.1.ADQSADAS,ADQSADAS,PARAMCD,EQ,ACTOT,
WC.Table_14-3.01.R.1.ADQSADAS,ADQSADAS,AVISIT,EQ,Week 24,
WC.Table_14-3.01.R.1.ADQSADAS,ADQSADAS,EFFFL,EQ,Y,
WC.Table_14-3.01.R.1.ADQSADAS,ADQSADAS,ANL01FL,EQ,Y,
WC.Table_14-3.01.R.2.ADQSADAS,ADQSADAS,PARAMCD,EQ,ACTOT,
WC.Table_14-3.01.R.2.ADQSADAS,ADQSADAS,AVISIT,EQ,Week 24,
WC.Table_14-3.01.R.2.ADQSADAS,ADQSADAS,EFFFL,EQ,Y,
WC.Table_14-3.01.R.2.ADQSADAS,ADQSADAS,ANL01FL,EQ,Y,
WC.Table_14-5.02.R.1.ADAE,ADAE,TRTEMFL,EQ,Y,
WC.Table_14-5.02.R.1.ADAE,ADAE,AESER,EQ,Y,
WC.Table_14-5.02.R.1.ADSL,ADSL,SAFFL,EQ,Y,
